Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,Australian College of Applied Psychology,Online,Undergraduate Certificate in Psychological Science,Humanities and Social Science,9228,,AUD,year,6,Months,yes,no,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/undergraduate-certificate-in-psychological-science/,English,A," Are you interested in becoming a psychologist or just in human behaviour in general? The Undergraduate Certificate in Psychological Science is a 6-month full time higher education qualification designed to provide individuals the skills and knowledge in psychology required for articulation into further study, and also for professionals to upskill and enhance their employment opportunities. In this course students will complete four units of study, covering foundational knowledges in psychology, concepts and skills underpinning living and working in a culturally diverse environment as well as issues of sustainability on personal, professional and community levels. This is one of four new Undergraduate Certificate courses at ACAP, developed in response to the global COVID-19 crisis to create opportunities for individuals interested in helping communities recover from adversity and to take positive steps towards their future employability. Fee help is available. EXPERTISE IN HUMAN BEHAVIOUR FORMS THE FOUNDATION OF ALL OUR COURSES INCLUDING OUR UNDERGRADUATE CERTIFICATE IN PSYCHOLOGICAL SCIENCE. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,no,
BA,Australian College of Applied Psychology,Perth,Undergraduate Certificate in Psychological Science,Humanities and Social Science,9228,,AUD,year,6,Months,yes,no,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/undergraduate-certificate-in-psychological-science/,English,A," Are you interested in becoming a psychologist or just in human behaviour in general? The Undergraduate Certificate in Psychological Science is a 6-month full time higher education qualification designed to provide individuals the skills and knowledge in psychology required for articulation into further study, and also for professionals to upskill and enhance their employment opportunities. In this course students will complete four units of study, covering foundational knowledges in psychology, concepts and skills underpinning living and working in a culturally diverse environment as well as issues of sustainability on personal, professional and community levels. This is one of four new Undergraduate Certificate courses at ACAP, developed in response to the global COVID-19 crisis to create opportunities for individuals interested in helping communities recover from adversity and to take positive steps towards their future employability. Fee help is available. EXPERTISE IN HUMAN BEHAVIOUR FORMS THE FOUNDATION OF ALL OUR COURSES INCLUDING OUR UNDERGRADUATE CERTIFICATE IN PSYCHOLOGICAL SCIENCE. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,no,
BA,Australian College of Applied Psychology,Melbourne,Undergraduate Certificate in Psychological Science,Humanities and Social Science,9228,,AUD,year,6,Months,yes,no,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/undergraduate-certificate-in-psychological-science/,English,A," Are you interested in becoming a psychologist or just in human behaviour in general? The Undergraduate Certificate in Psychological Science is a 6-month full time higher education qualification designed to provide individuals the skills and knowledge in psychology required for articulation into further study, and also for professionals to upskill and enhance their employment opportunities. In this course students will complete four units of study, covering foundational knowledges in psychology, concepts and skills underpinning living and working in a culturally diverse environment as well as issues of sustainability on personal, professional and community levels. This is one of four new Undergraduate Certificate courses at ACAP, developed in response to the global COVID-19 crisis to create opportunities for individuals interested in helping communities recover from adversity and to take positive steps towards their future employability. Fee help is available. EXPERTISE IN HUMAN BEHAVIOUR FORMS THE FOUNDATION OF ALL OUR COURSES INCLUDING OUR UNDERGRADUATE CERTIFICATE IN PSYCHOLOGICAL SCIENCE. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,no,
BA,Australian College of Applied Psychology,Brisbane,Undergraduate Certificate in Psychological Science,Humanities and Social Science,9228,,AUD,year,6,Months,yes,no,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/undergraduate-certificate-in-psychological-science/,English,A," Are you interested in becoming a psychologist or just in human behaviour in general? The Undergraduate Certificate in Psychological Science is a 6-month full time higher education qualification designed to provide individuals the skills and knowledge in psychology required for articulation into further study, and also for professionals to upskill and enhance their employment opportunities. In this course students will complete four units of study, covering foundational knowledges in psychology, concepts and skills underpinning living and working in a culturally diverse environment as well as issues of sustainability on personal, professional and community levels. This is one of four new Undergraduate Certificate courses at ACAP, developed in response to the global COVID-19 crisis to create opportunities for individuals interested in helping communities recover from adversity and to take positive steps towards their future employability. Fee help is available. EXPERTISE IN HUMAN BEHAVIOUR FORMS THE FOUNDATION OF ALL OUR COURSES INCLUDING OUR UNDERGRADUATE CERTIFICATE IN PSYCHOLOGICAL SCIENCE. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,no,
BA,Australian College of Applied Psychology,Sydney,Undergraduate Certificate in Psychological Science,Humanities and Social Science,9228,,AUD,year,6,Months,yes,no,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/undergraduate-certificate-in-psychological-science/,English,A," Are you interested in becoming a psychologist or just in human behaviour in general? The Undergraduate Certificate in Psychological Science is a 6-month full time higher education qualification designed to provide individuals the skills and knowledge in psychology required for articulation into further study, and also for professionals to upskill and enhance their employment opportunities. In this course students will complete four units of study, covering foundational knowledges in psychology, concepts and skills underpinning living and working in a culturally diverse environment as well as issues of sustainability on personal, professional and community levels. This is one of four new Undergraduate Certificate courses at ACAP, developed in response to the global COVID-19 crisis to create opportunities for individuals interested in helping communities recover from adversity and to take positive steps towards their future employability. Fee help is available. EXPERTISE IN HUMAN BEHAVIOUR FORMS THE FOUNDATION OF ALL OUR COURSES INCLUDING OUR UNDERGRADUATE CERTIFICATE IN PSYCHOLOGICAL SCIENCE. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,no,
BA,Australian College of Applied Psychology,Online,Bachelor of Psychological Science,Humanities and Social Science,55368,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/bachelor-of-psychological-science/,English,A,"Understand success. Lead a progressive career in psychology. You’re intrigued by the human mind, and how our immediate environment affects our thinking and actions. Our Bachelor of Psychological Science gives you deep insight into why we think and act the way we do, with an understanding of the connection between an individual, society and culture.  This could be the first step on the path to training and registering as a psychologist in Australia or another career where understanding human behaviour is beneficial. You also have the option to complete a major stream in Criminology or Social Welfare. This course is accredited without conditions by the Australian Psychology Accreditation Council (APAC) in Sydney, Melbourne and Brisbane. The course is conditionally accredited in Perth. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,yes,
BA,Australian College of Applied Psychology,Perth,Bachelor of Psychological Science,Humanities and Social Science,55368,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/bachelor-of-psychological-science/,English,A,"Understand success. Lead a progressive career in psychology. You’re intrigued by the human mind, and how our immediate environment affects our thinking and actions. Our Bachelor of Psychological Science gives you deep insight into why we think and act the way we do, with an understanding of the connection between an individual, society and culture.  This could be the first step on the path to training and registering as a psychologist in Australia or another career where understanding human behaviour is beneficial. You also have the option to complete a major stream in Criminology or Social Welfare. This course is accredited without conditions by the Australian Psychology Accreditation Council (APAC) in Sydney, Melbourne and Brisbane. The course is conditionally accredited in Perth. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,yes,
BA,Australian College of Applied Psychology,Melbourne,Bachelor of Psychological Science,Humanities and Social Science,55368,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/bachelor-of-psychological-science/,English,A,"Understand success. Lead a progressive career in psychology. You’re intrigued by the human mind, and how our immediate environment affects our thinking and actions. Our Bachelor of Psychological Science gives you deep insight into why we think and act the way we do, with an understanding of the connection between an individual, society and culture.  This could be the first step on the path to training and registering as a psychologist in Australia or another career where understanding human behaviour is beneficial. You also have the option to complete a major stream in Criminology or Social Welfare. This course is accredited without conditions by the Australian Psychology Accreditation Council (APAC) in Sydney, Melbourne and Brisbane. The course is conditionally accredited in Perth. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,yes,
BA,Australian College of Applied Psychology,Brisbane,Bachelor of Psychological Science,Humanities and Social Science,55368,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/bachelor-of-psychological-science/,English,A,"Understand success. Lead a progressive career in psychology. You’re intrigued by the human mind, and how our immediate environment affects our thinking and actions. Our Bachelor of Psychological Science gives you deep insight into why we think and act the way we do, with an understanding of the connection between an individual, society and culture.  This could be the first step on the path to training and registering as a psychologist in Australia or another career where understanding human behaviour is beneficial. You also have the option to complete a major stream in Criminology or Social Welfare. This course is accredited without conditions by the Australian Psychology Accreditation Council (APAC) in Sydney, Melbourne and Brisbane. The course is conditionally accredited in Perth. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,yes,
BA,Australian College of Applied Psychology,Sydney,Bachelor of Psychological Science,Humanities and Social Science,55368,,AUD,year,3,Years,yes,yes,,IELTS,,,6.5,,https://www.acap.edu.au/courses/psychology/bachelor-of-psychological-science/,English,A,"Understand success. Lead a progressive career in psychology. You’re intrigued by the human mind, and how our immediate environment affects our thinking and actions. Our Bachelor of Psychological Science gives you deep insight into why we think and act the way we do, with an understanding of the connection between an individual, society and culture.  This could be the first step on the path to training and registering as a psychologist in Australia or another career where understanding human behaviour is beneficial. You also have the option to complete a major stream in Criminology or Social Welfare. This course is accredited without conditions by the Australian Psychology Accreditation Council (APAC) in Sydney, Melbourne and Brisbane. The course is conditionally accredited in Perth. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Expertise in human behaviour forms the foundation of all our courses including our Bachelor of Psychological Science. Explore with an applied focus: See the complete course guide here.",,Australia,yes,yes,,yes,yes,
